,code,unit_code,school,Level,Semester,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,mean_score,Invited,Responses,Response Rate
 ACB1020_PENINSULA_ON-CAMPUS_ON_S1-01 , ACB1020_PENINSULA_ON-CAMPUS_ON_S1-01 ,ACB1020,ACB,1,S1,3.68,3.44,3.56,3.48,3.76,3.6,3.96,3.36,3.605,82,25,30.48780488
 ACB1120_PENINSULA_FLEXIBLE_COMPOSITE_S1-FF , ACB1120_PENINSULA_FLEXIBLE_COMPOSITE_S1-FF ,ACB1120,ACB,1,S1,4.57,4.57,4.43,4,4.43,4.43,4.57,4.57,4.44625,11,7,63.63636364
 ACB1120_PENINSULA_ON-CAMPUS_ON_S1-01 , ACB1120_PENINSULA_ON-CAMPUS_ON_S1-01 ,ACB1120,ACB,1,S1,3.86,3.67,3.6,3.4,3.6,3.47,3.4,3.2,3.525,60,15,25
 ACB2120_PENINSULA_FLEXIBLE_COMPOSITE_S1-FF , ACB2120_PENINSULA_FLEXIBLE_COMPOSITE_S1-FF ,ACB2120,ACB,2,S1,4,4.29,4,4,4.14,4.29,4.14,4.14,4.125,11,7,63.63636364
 ACB2120_PENINSULA_ON-CAMPUS_ON_S1-01 , ACB2120_PENINSULA_ON-CAMPUS_ON_S1-01 ,ACB2120,ACB,2,S1,4.58,4.54,4.54,4.38,4.46,4.46,4.62,4.46,4.505,33,13,39.39393939
 ACB2220_PENINSULA_FLEXIBLE_COMPOSITE_S1-FF , ACB2220_PENINSULA_FLEXIBLE_COMPOSITE_S1-FF ,ACB2220,ACB,2,S1,3.75,4,3.75,3.75,3.75,3.75,3.75,4.25,3.84375,10,4,40
 ACB2220_PENINSULA_ON-CAMPUS_ON_S1-01 , ACB2220_PENINSULA_ON-CAMPUS_ON_S1-01 ,ACB2220,ACB,2,S1,4.05,4.16,4.11,3.89,4.05,4.11,4.39,4.11,4.10875,32,19,59.375
 ACC1100_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , ACC1100_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,ACC1100,ACC,1,S1,3.5,4,3.75,3.88,3.88,3.88,4.13,3.75,3.84625,19,8,42.10526316
 ACC1100_CLAYTON_ON-CAMPUS_ON_S1-01 , ACC1100_CLAYTON_ON-CAMPUS_ON_S1-01 ,ACC1100,ACC,1,S1,4.07,3.99,4,3.61,3.72,3.79,4.1,3.82,3.8875,611,248,40.58919804
 ACC1200_CLAYTON_ON-CAMPUS_ON_S1-01 , ACC1200_CLAYTON_ON-CAMPUS_ON_S1-01 ,ACC1200,ACC,1,S1,3.87,3.49,3.42,3.14,3.37,3.6,3.85,3.41,3.51875,413,251,60.7748184
 ACC2100_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , ACC2100_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,ACC2100,ACC,2,S1,4.2,4.2,4.2,4,4.2,4.2,4.2,4.4,4.2,7,5,71.42857143
 ACC2100_CLAYTON_ON-CAMPUS_ON_S1-01 , ACC2100_CLAYTON_ON-CAMPUS_ON_S1-01 ,ACC2100,ACC,2,S1,4.32,4.21,4.16,3.81,3.98,4.07,4.19,3.98,4.09,193,62,32.12435233
